"","AF_6","AF_8","AF_10","AF_12","AF_14","AF_17","AF_19","AF_21","AF_23","AF_25","GF_7","GF_9","GF_11","GF_13","GF_15","GF_18","GF_20","GF_22","GF_24","GF_26"
"Label","AF","AF","AF","AF","AF","AF","AF","AF","AF","AF","GF","GF","GF","GF","GF","GF","GF","GF","GF","GF"
"8.45_577.1333m/z"," 1.67915688"," 0.27206211"," 0.65300376","-1.63347542"," 2.61414562","-0.96002030","-0.44846535"," 0.14707870","-0.33661292"," 0.44797426","-0.11396060","-1.34420623","-0.11533314","-0.18481809"," 0.02641544","-0.64081853"," 0.01799815"," 1.24013396","-0.78490795","-0.53535035"
"8.48_576.8630n"," 0.44713778"," 1.25813435"," 0.99563867"," 0.89152966"," 0.40473711","-0.03630047","-1.74649980"," 0.42830137"," 0.46650971","-0.23217859"," 1.18243585"," 1.17805543","-2.06183368"," 0.69978423","-0.59938248"," 0.45186389","-1.16008485","-1.07450939","-0.91251482","-0.58082394"
"10.97_576.3371m/z"," 1.635441512"," 1.402587520"," 1.218830367","-0.554980770"," 1.271343352"," 1.113405447"," 0.338306989"," 0.407876591"," 0.406585354"," 0.098377640","-0.314165068","-0.962751238","-0.003919922","-2.003138997","-0.963231811","-0.570819231","-0.154947631","-1.146135986","-1.272924290"," 0.054260173"
"9.32_576.3316m/z"," 0.04590106","-0.38930479"," 0.12607792"," 0.09410161","-0.39801682"," 0.76027885"," 1.57520518"," 0.10987381"," 0.36493466"," 0.29515447","-2.37982139","-1.19481929"," 0.21876226"," 1.22419275","-1.06752897"," 0.62428183","-0.39516831","-0.54735758"," 1.93517554","-1.00192280"
"12.74_575.5503m/z","-0.7149732"," 1.3906477","-0.6618275"," 0.7510687"," 0.8499991","-0.7556167","-0.3870466","-0.9915889"," 0.7256934","-0.9302127","-0.1514146"," 0.5686482"," 2.3432212","-0.5466498","-0.9960461","-0.3307410"," 1.2490808","-0.5895011"," 0.6495007","-1.4722415"
"9.63_572.2962m/z"," 0.7203784"," 0.6765352","-1.2871359","-0.5748608"," 0.4206233"," 0.4201021","-1.6862315"," 0.1774765"," 0.3929436"," 1.0565671"," 2.7155863","-0.9404098","-0.1474459","-0.9779080"," 0.1679109","-0.9062148","-0.6634178"," 0.1065933","-0.5230525"," 0.8519601"
"8.94_571.4576m/z"," 0.149930242"," 0.001808742"," 1.685344794","-0.256708165","-1.617849162","-0.734795981"," 1.378306531"," 0.591653584","-0.677548754","-0.687067446","-1.808349853"," 0.770156243"," 0.395153439"," 0.695453153"," 0.171967176"," 1.091335959"," 0.049877307","-1.933095183"," 0.378594566"," 0.355832807"
"8.66_570.3133n"," 0.06387489"," 1.87596195"," 1.46450338"," 1.09907531"," 0.31420759","-0.56476759","-0.87534554","-0.66758573","-1.03433200","-0.26956020"," 1.43637596"," 1.65120132","-0.72535922"," 0.70796318","-0.54594320","-0.92410538","-0.86267324","-0.88216842","-0.81085153","-0.45047153"
"7.70_569.3145m/z"," 0.263895232"," 1.482910702","-1.442242985","-1.536999236"," 0.280718183","-1.222296917","-0.300215592","-0.524072860","-0.015570153"," 1.833238563"," 0.407796990"," 0.035430708","-0.516031511","-0.843113860","-1.046353496","-0.007051745","-0.433671793"," 0.761079289"," 1.409500166"," 1.413050315"
"9.63_568.5664m/z","-0.43894713","-0.94401853"," 0.45318961","-1.65261670","-0.19787835","-1.10103033"," 0.02093967"," 0.68073066","-0.25608621","-2.63224155","-0.58784970"," 0.53240918"," 0.67722781"," 0.70267952"," 0.75719264"," 0.16760316"," 0.79860630"," 0.97457433"," 1.47420603"," 0.57130962"
"9.89_567.8199m/z"," 0.3302615","-1.5014025"," 0.7982483"," 0.3892566"," 0.4019571"," 0.2745384","-1.7329872"," 0.3559359"," 0.2231609"," 0.3839605"," 0.1626915","-1.9610525"," 0.9982483"," 0.2053601"," 0.2171085","-2.2828231"," 0.6293983"," 0.5486315"," 1.0971167"," 0.4623912"
"9.26_567.3086m/z"," 2.3022081"," 1.3629566"," 0.1449188","-0.8652336","-0.1787688"," 0.7461245"," 0.7459950","-1.2196931"," 0.3371266","-0.9444905"," 0.3247716","-1.5415338","-0.9021575","-0.6659002","-1.0635079","-0.3636637","-0.3110930"," 0.5784288"," 0.1029645"," 1.4105477"
"9.89_566.5753n","-0.10352735"," 0.33717442"," 1.52226943"," 0.27253601","-0.52900348","-0.62533942"," 0.03075435","-1.91736347"," 0.06379126","-1.58982334","-2.00214496","-0.21878747"," 0.92127643"," 0.41197995","-0.30738295"," 0.18848544"," 0.95316003"," 1.58941487"," 0.98191933"," 0.02061092"
"10.39_565.2486m/z"," 0.39710050"," 0.17333559"," 2.41305022","-2.06899431","-0.60236761"," 0.01322395","-0.04456972","-0.46890486","-0.66437490","-1.75739685"," 0.34854502"," 1.25658445"," 1.52412060"," 0.21860163"," 0.23753154","-0.22223020","-0.61827061","-0.14224820"," 0.08864442","-0.08138066"
"12.87_564.5601n"," 2.0045162","-0.6197691","-1.5505503"," 0.1236899"," 0.9341050"," 0.2885340"," 0.3452346"," 0.8513612","-1.5613962"," 0.4142411"," 0.6303035","-1.2094541","-0.2685496"," 0.2554548"," 0.9425428"," 0.1928940"," 0.4569574","-1.3042538","-1.5826192"," 0.6567579"
"9.51_564.4203m/z"," 0.3061539","-0.4365648"," 0.7321517"," 1.1919410"," 0.6371634"," 1.0009389"," 0.2556913"," 1.4385030"," 0.9055964"," 0.7500238","-0.6868193","-2.0105333","-0.2238485","-1.2633936"," 1.2479034","-0.1758587","-0.9342336","-1.5526249","-0.8181382","-0.3640517"
"10.78_562.5373m/z"," 1.30645359","-1.17758388"," 1.03513363","-0.15956006"," 0.17635324"," 0.09858903"," 0.06627311","-0.24132657"," 0.10767272","-1.25454254"," 1.02501782","-2.88963002"," 0.08042177"," 0.76082255","-0.22779363"," 0.05328681"," 1.42567397","-0.32459627","-0.61308646"," 0.75242119"
"11.85_562.3591n"," 0.70559147"," 2.43620170","-0.79704035","-0.29856606","-0.96749976","-0.42712723","-0.65274869"," 0.33010585","-0.29699287","-1.76053450"," 1.81690850","-0.46172369"," 0.72032877"," 0.19057758"," 0.54430145"," 0.35056403"," 0.56926703"," 0.02610045","-0.75679569","-1.27091799"
"8.37_562.3572m/z"," 0.4831503"," 1.6286373","-1.0852580","-1.1650032"," 0.4387121","-1.5071933","-0.3001512","-0.9079286"," 0.2990616"," 1.5896943"," 0.8359486"," 0.1422569","-0.3169330","-0.7864790","-1.2904023","-0.5694411","-0.6414492"," 0.5177648"," 1.3693231"," 1.2656900"
"10.95_560.5271n"," 1.40500201"," 1.21026435"," 1.37703892"," 0.68014581"," 0.76854084"," 0.57892927"," 0.33280250","-0.08525254"," 0.38284135"," 0.39133844","-0.35594267","-1.70059991"," 1.26833727","-0.85919574","-1.27387727","-0.36110771","-1.16405649","-0.32334493","-0.54441391","-1.72744960"
"9.18_559.5196m/z","-2.15403131","-1.70950500","-0.05875474","-0.07007541"," 0.40681713","-0.08347612"," 0.52899006"," 0.17709652","-0.56007179"," 1.79312104","-0.92589502","-0.59539568"," 0.46344765","-1.42166677"," 0.12985874"," 0.75907210"," 0.60107791"," 0.31623645"," 1.08511522"," 1.31803903"
"10.53_557.1521m/z","-2.510799467"," 0.128329545"," 0.319651028"," 0.245150531"," 1.580820248"," 0.073056818"," 0.171206558"," 0.131158325"," 0.199429002"," 0.245997381"," 0.285633268","-0.725799433"," 0.580944595"," 0.654683797","-0.751296397","-2.530003704"," 0.497273581","-0.001212101"," 1.084189509"," 0.321586916"
"9.31_552.2829n"," 0.8957980"," 0.3197059"," 0.2186809","-0.7793981"," 0.6204109"," 1.2679857"," 0.3408588","-0.1221607"," 1.3971187"," 0.5514719"," 0.9136638","-0.5321298","-0.3082118","-1.3469139"," 0.0863008"," 0.3403385","-1.3270335","-1.8390653","-1.8526076"," 1.1551868"
