"","AF_6","AF_8","AF_10","AF_12","AF_14","AF_17","AF_19","AF_21","AF_23","AF_25","GF_7","GF_9","GF_11","GF_13","GF_15","GF_18","GF_20","GF_22","GF_24","GF_26"
"Label","AF","AF","AF","AF","AF","AF","AF","AF","AF","AF","GF","GF","GF","GF","GF","GF","GF","GF","GF","GF"
"8.67_585.2091m/z","-0.215283397"," 0.173001936"," 0.564686686"," 1.720174857"," 0.007339387"," 1.206581333"," 0.367304211","-0.678098032"," 0.088372486","-0.528363531","-0.173047461","-0.134557936"," 0.106833715"," 1.864144156","-0.874777900","-0.389476891"," 1.407592247","-1.263053244","-1.602393239","-1.646979383"
"10.62_581.4984m/z","-2.85276131"," 0.53958005"," 0.36492659"," 0.27442421"," 0.46867325","-2.81599433"," 0.66152836"," 0.37999936"," 0.31633033"," 0.08316522"," 0.51423731"," 0.40060617"," 0.43146641"," 0.25370380"," 0.40266711"," 0.14512769"," 0.58007771"," 0.35179308","-0.04981837","-0.44973266"
"10.32_578.4282n"," 0.477013756"," 0.516921497"," 2.097735998","-1.009740196"," 0.037311738","-1.815523863","-0.769282043","-0.449392800"," 0.959475150"," 0.453090367"," 0.865390556"," 0.835426766"," 0.504605952","-0.009334115","-0.003041013"," 0.254497586","-1.661692124"," 0.648487828","-0.240123830","-1.691827212"
"9.32_576.3321m/z"," 0.8273905"," 0.3342464"," 0.2300701","-0.4225019"," 0.4941752"," 1.4877591","-0.2841841","-1.0013706","-0.8994477","-0.9152412"," 1.5810674"," 0.7680835"," 0.8074545","-0.5551939"," 0.5321594"," 1.2934239","-0.3953784","-1.1243906","-2.2605844","-0.4975372"
"11.34_575.3981m/z"," 0.16438518"," 0.18392050"," 0.80358673"," 0.29167071"," 0.68904105"," 0.02602865"," 0.55919204"," 0.88950440"," 1.33346718"," 0.19866924","-0.79344444"," 0.99208400","-0.29992920","-1.41406649","-0.06242703"," 0.35289410","-0.31089808"," 0.55996248","-1.10677491","-3.05686609"
"8.76_572.2980m/z"," 0.2301496"," 0.7864275","-0.4147427"," 0.1648314","-1.0186539","-0.6892272"," 0.9834890","-0.5874705","-0.7908641"," 0.5505656","-1.3756250"," 0.8712074","-0.7677886"," 1.0597158"," 0.1268886","-0.8313443","-0.2001344","-1.5468101"," 1.0454113"," 2.4039746"
"9.71_568.5669m/z"," 1.7194224","-0.3713387","-0.1805198","-0.2610441","-1.0134149","-1.2051925"," 0.1283528","-0.7015736"," 0.4037106","-0.7708919"," 1.4900789"," 0.3963313"," 2.0715848"," 0.6555272"," 0.5322772","-1.6084033"," 0.7883350","-0.6976221","-0.5530108","-0.8226085"
"8.76_568.3181n","-0.19089963"," 0.74990869","-0.48278448"," 0.02156283","-1.22269800","-0.85256190"," 0.39507476","-0.97776507","-0.38559548"," 0.60324723","-0.92613388"," 1.42939591","-1.14900473"," 0.91653744"," 0.29074950"," 0.30201037"," 0.10008958","-1.73167320"," 0.76858012"," 2.34195992"
"9.86_566.5752n"," 0.16016172"," 1.51930211","-0.72954310"," 0.49604653"," 0.84789227"," 0.24852679","-1.00315714","-0.33393341","-0.20232897"," 0.03582237"," 1.28791116"," 0.41966726"," 1.57915500"," 0.62546279"," 0.44550613","-2.15418407"," 0.09366713","-0.50708771","-1.66047652","-1.16841033"
"9.85_565.5670m/z"," 0.5457827","-1.1659411"," 0.5274076"," 0.5384288"," 0.5360298"," 0.5401694"," 0.5411476"," 0.5151050"," 0.5177276"," 0.5431016"," 0.5417208","-2.7320879","-1.1640661"," 0.5435132","-1.6201694"," 0.5285443","-1.3686439"," 0.5276935"," 0.5429259"," 0.5616105"
